review_rank,split,galaxy,filename,cut_category,component_id,probability_mass,max_probability,mean_probability,area_over_beam,velocity_extent_kms,spatial_extent_kpc,edge_touching,velocity_edge_touching,velocity_extent_gt_70kms,review_priority
574,stress,ngc_3031,ngc_3031__std_006347.npy,centered_positive__galaxy_minor,2,734.6101684570312,0.9999257326126099,0.8766230940818787,10.345679012345679,41.66666666666667,1.015625,0,0,0,high_confidence_review
575,stress,ngc_3031,ngc_3031__std_004789.npy,spatial_offset_4pix__shell_major,1,734.5609130859375,0.9856967329978943,0.8001753091812134,11.333333333333334,62.50000000000001,0.80078125,0,0,0,high_confidence_review
576,stress,ngc_3031,ngc_3031__std_006900.npy,spatial_offset_4pix__shell_minor,1,734.498291015625,0.998828649520874,0.8234285712242126,11.012345679012345,47.91666666666667,1.26953125,0,0,0,high_confidence_review
577,test,ho_ii,ho_ii__std_000203.npy,velocity_offset_-15kms,1,734.40185546875,0.9999971985816956,0.9000023007392883,9.379310344827585,41.66666666666667,0.9375,0,0,0,high_confidence_review
578,test,ngc_3184,ngc_3184__std_000809.npy,centered_positive__galaxy_minor,2,734.2022705078125,0.9984464645385742,0.8478085994720459,32.074074074074076,35.41666666666667,1.2109375,0,0,0,high_confidence_review
579,stress,ngc_3031,ngc_3031__std_005753.npy,spatial_offset_8pix__shell_major,1,734.01171875,0.99817955493927,0.825659990310669,10.975308641975309,56.25000000000001,0.8984375,0,0,0,high_confidence_review
580,stress,ngc_3031,ngc_3031__std_007197.npy,velocity_offset_-15kms,1,733.7940063476562,0.9999849796295166,0.8809051513671875,10.283950617283951,43.75,0.95703125,0,0,0,high_confidence_review
581,stress,ngc_3031,ngc_3031__std_007696.npy,centered_positive__shell_major,2,733.648193359375,0.9999452233314514,0.880730152130127,10.283950617283951,43.75,0.91796875,0,0,0,high_confidence_review
582,val,ngc_4449,ngc_4449__std_000302.npy,angle_offset_-45deg,1,733.568115234375,0.9991844892501831,0.846099317073822,3.9953917050691246,52.083333333333336,0.859375,0,0,0,medium_confidence_review
583,stress,ngc_3031,ngc_3031__std_007369.npy,spatial_offset_4pix__shell_minor,2,733.0799560546875,0.9976806044578552,0.8465126752853394,10.691358024691358,41.66666666666667,0.99609375,0,0,0,high_confidence_review
584,stress,ngc_3031,ngc_3031__std_007902.npy,random_nearby_grazing,1,733.0384521484375,0.9983603358268738,0.8553540706634521,10.580246913580247,39.583333333333336,1.03515625,0,0,0,high_confidence_review
585,stress,ngc_3031,ngc_3031__std_005205.npy,spatial_offset_4pix__shell_major,3,732.9255981445312,0.9997300505638123,0.8582267165184021,10.54320987654321,39.583333333333336,1.09375,0,0,0,high_confidence_review
586,stress,ngc_3031,ngc_3031__std_007201.npy,random_nearby_grazing,1,732.87939453125,0.9999837279319763,0.8959406018257141,10.098765432098766,43.75,0.9375,0,0,0,high_confidence_review
587,stress,ngc_3031,ngc_3031__std_004396.npy,centered_positive__galaxy_major,3,732.7508544921875,0.9956597089767456,0.8034548759460449,11.25925925925926,62.50000000000001,0.859375,0,0,0,high_confidence_review
588,stress,ngc_3031,ngc_3031__std_007898.npy,velocity_offset_-30kms,1,732.688720703125,0.9982171654701233,0.8519636392593384,10.617283950617283,41.66666666666667,1.015625,0,0,0,high_confidence_review
589,stress,ngc_3031,ngc_3031__std_005087.npy,angle_offset_-22.5deg,1,732.6834716796875,0.991767406463623,0.8113881349563599,11.148148148148149,64.58333333333334,0.8203125,0,0,0,high_confidence_review
590,stress,ngc_3031,ngc_3031__std_001625.npy,spatial_offset_8pix__shell_minor,3,732.5186767578125,0.9996169805526733,0.8597636818885803,10.518518518518519,43.75,1.0546875,0,0,0,high_confidence_review
591,test,ngc_3184,ngc_3184__std_000189.npy,spatial_offset_8pix__shell_major,2,732.4324340820312,0.963042676448822,0.7251806259155273,37.407407407407405,27.083333333333336,1.89453125,0,0,0,high_confidence_review
592,stress,ngc_3031,ngc_3031__std_007718.npy,velocity_offset_+15kms,2,732.2499389648438,0.9999285936355591,0.8897325992584229,10.160493827160494,45.833333333333336,0.8984375,0,0,0,high_confidence_review
593,stress,ngc_3031,ngc_3031__std_007085.npy,spatial_offset_8pix__shell_minor,1,732.0752563476562,0.9958583116531372,0.8290773034095764,10.901234567901234,45.833333333333336,1.03515625,0,0,0,high_confidence_review
594,val,ngc_2366,ngc_2366__std_000379.npy,spatial_offset_16pix__shell_minor,1,731.833984375,0.9998477101325989,0.8589600920677185,10.784810126582279,43.75,0.9765625,0,0,0,high_confidence_review
595,stress,ngc_3031,ngc_3031__std_005722.npy,centered_positive__galaxy_major,2,731.4718017578125,0.999843955039978,0.8237295150756836,10.962962962962964,47.91666666666667,1.2109375,0,0,0,high_confidence_review
596,stress,ngc_3031,ngc_3031__std_005751.npy,spatial_offset_4pix__shell_major,1,731.1851806640625,0.9943224191665649,0.7973666191101074,11.320987654320987,58.333333333333336,0.95703125,0,0,0,high_confidence_review
597,stress,ngc_3031,ngc_3031__std_007539.npy,random_nearby_grazing,2,731.0933227539062,0.9986909627914429,0.8560811877250671,10.54320987654321,43.75,0.99609375,0,0,0,high_confidence_review
598,stress,ngc_3031,ngc_3031__std_006620.npy,angle_offset_-45deg,1,730.964599609375,0.9999632239341736,0.8860176801681519,10.185185185185185,43.75,0.91796875,0,0,0,high_confidence_review
599,test,ho_ii,ho_ii__std_000093.npy,spatial_offset_16pix__shell_minor,2,730.8451538085938,0.998460590839386,0.8577994704246521,9.793103448275861,39.583333333333336,1.171875,0,0,0,high_confidence_review
600,stress,ngc_3031,ngc_3031__std_005222.npy,velocity_offset_+15kms,3,730.747314453125,0.9996330738067627,0.840906023979187,10.728395061728396,37.5,1.19140625,0,0,0,high_confidence_review
601,stress,ngc_3031,ngc_3031__std_006142.npy,spatial_offset_8pix__shell_major,2,730.488037109375,0.992200493812561,0.8071690797805786,11.17283950617284,60.41666666666667,0.87890625,0,0,0,high_confidence_review
602,stress,ngc_3031,ngc_3031__std_002076.npy,velocity_offset_+15kms,2,730.2520141601562,0.9999628067016602,0.8735072016716003,10.320987654320987,43.75,0.91796875,0,0,0,high_confidence_review
603,test,ho_ii,ho_ii__std_000679.npy,centered_positive__galaxy_minor,1,730.2234497070312,0.9999586939811707,0.8981838226318359,9.344827586206897,41.66666666666667,0.95703125,0,0,0,high_confidence_review
604,stress,ngc_3031,ngc_3031__std_004784.npy,centered_positive__shell_major,1,730.21630859375,0.9873346090316772,0.7997987866401672,11.271604938271604,62.50000000000001,0.83984375,0,0,0,high_confidence_review
605,stress,ngc_3031,ngc_3031__std_006229.npy,spatial_offset_16pix__shell_minor,2,730.1672973632812,0.9932324290275574,0.8213355541229248,10.975308641975309,52.083333333333336,1.0546875,0,0,0,high_confidence_review
606,stress,ngc_3031,ngc_3031__std_008104.npy,angle_offset_+22.5deg,1,730.1527099609375,0.9970186948776245,0.8460633754730225,10.654320987654321,39.583333333333336,1.0546875,0,0,0,high_confidence_review
607,stress,ngc_3031,ngc_3031__std_007176.npy,centered_positive__shell_major,1,730.136962890625,0.9999880790710449,0.8947756886482239,10.074074074074074,43.75,0.95703125,0,0,0,high_confidence_review
608,stress,ngc_3031,ngc_3031__std_005223.npy,velocity_offset_+30kms,3,729.9466552734375,0.9996230006217957,0.837094783782959,10.765432098765432,37.5,1.2109375,0,0,0,high_confidence_review
609,test,ngc_3184,ngc_3184__std_000994.npy,spatial_offset_8pix__shell_major,2,729.3841552734375,0.9935555458068848,0.7876718640327454,34.2962962962963,31.250000000000004,1.6015625,0,0,0,high_confidence_review
610,stress,ngc_3031,ngc_3031__std_007887.npy,spatial_offset_16pix__shell_major,1,729.1129150390625,0.9944344758987427,0.7501161694526672,12.0,41.66666666666667,1.640625,0,0,0,high_confidence_review
611,stress,ngc_3031,ngc_3031__std_003939.npy,spatial_offset_8pix__shell_minor,2,729.0608520507812,0.9903110265731812,0.8294207453727722,10.851851851851851,58.333333333333336,0.78125,0,0,0,high_confidence_review
612,stress,ngc_3031,ngc_3031__std_002144.npy,spatial_offset_8pix__shell_minor,1,728.4393310546875,0.9999480247497559,0.870297908782959,10.333333333333334,43.75,0.91796875,0,0,0,high_confidence_review
613,stress,ngc_3031,ngc_3031__std_007899.npy,velocity_offset_-15kms,1,728.3238525390625,0.9983048439025879,0.8488622903823853,10.592592592592593,39.583333333333336,1.015625,0,0,0,high_confidence_review
614,stress,ngc_3031,ngc_3031__std_007365.npy,spatial_offset_8pix__shell_major,4,728.283935546875,0.9988967180252075,0.8649452924728394,10.395061728395062,50.0,0.859375,0,0,0,high_confidence_review
615,val,ngc_2366,ngc_2366__std_000375.npy,spatial_offset_4pix__shell_minor,1,728.1332397460938,0.9999585151672363,0.8793879747390747,10.481012658227849,45.833333333333336,0.87890625,0,0,0,high_confidence_review
616,val,ngc_4449,ngc_4449__std_000223.npy,spatial_offset_16pix__shell_minor,1,728.079833984375,0.9991983771324158,0.8045080900192261,4.170506912442396,50.0,1.09375,0,0,0,medium_confidence_review
617,test,ngc_7793,ngc_7793__std_000451.npy,spatial_offset_16pix__shell_major,1,727.836181640625,0.9907883405685425,0.7759447693824768,10.906976744186046,35.41666666666667,1.5625,0,0,0,high_confidence_review
618,stress,ngc_3031,ngc_3031__std_000621.npy,velocity_offset_+30kms,2,727.7567138671875,0.9991371035575867,0.8345834016799927,10.765432098765432,35.41666666666667,1.2890625,0,0,0,high_confidence_review
619,stress,ngc_3031,ngc_3031__std_000851.npy,angle_offset_+45deg,2,727.6903686523438,0.9997283220291138,0.8530954122543335,10.530864197530864,41.66666666666667,1.11328125,0,0,0,high_confidence_review
620,val,ngc_4449,ngc_4449__std_000353.npy,spatial_offset_16pix__shell_minor,2,726.908447265625,0.9987828135490417,0.8482012152671814,3.9493087557603688,52.083333333333336,0.87890625,0,0,0,medium_confidence_review
621,test,ngc_3184,ngc_3184__std_000350.npy,spatial_offset_8pix__shell_minor,1,726.8970947265625,0.9994044303894043,0.8335976004600525,32.2962962962963,37.5,1.23046875,0,0,0,high_confidence_review
