split,galaxy,cut_category,threshold,patches,positive_patches,negative_patches,patch_tp,patch_fp,patch_fn,patch_tn,pixel_tp,pixel_fp,pixel_fn,patch_precision,patch_recall,patch_f1,pixel_precision,pixel_recall,pixel_f1
test,ho_ii,velocity_offset_-15kms,0.075,80,80,0,80,0,0,0,28688,45650,18684,1.0,1.0,1.0,0.38591299200947027,0.6055897998817867,0.4714156601758278
test,ho_ii,velocity_offset_-30kms,0.05,80,80,0,80,0,0,0,28738,48126,18634,1.0,1.0,1.0,0.3738811407160699,0.6066452756902811,0.46263562896422933
test,ho_ii,velocity_offset_-30kms,0.075,80,80,0,80,0,0,0,28382,46598,18990,1.0,1.0,1.0,0.37852760736196317,0.5991302879338005,0.463940107231594
test,ngc_3184,angle_offset_+22.5deg,0.05,80,80,0,80,0,0,0,9116,22590,804,1.0,1.0,1.0,0.2875165583801173,0.9189516129032258,0.43799548359198576
test,ngc_3184,angle_offset_+22.5deg,0.075,80,80,0,80,0,0,0,9084,21806,836,1.0,1.0,1.0,0.29407575267076724,0.915725806451613,0.44518500367556973
test,ngc_3184,angle_offset_+45deg,0.05,80,80,0,80,0,0,0,8316,24238,992,1.0,1.0,1.0,0.25545247895803896,0.8934250107434465,0.3973054321341551
test,ngc_3184,angle_offset_+45deg,0.075,80,80,0,80,0,0,0,8278,23516,1030,1.0,1.0,1.0,0.26036359061458136,0.8893425010743446,0.40280278331954655
test,ngc_3184,angle_offset_-22.5deg,0.05,80,80,0,80,0,0,0,9336,22670,1230,1.0,1.0,1.0,0.29169530712991315,0.8835888699602499,0.438598139622287
test,ngc_3184,angle_offset_-22.5deg,0.075,80,80,0,80,0,0,0,9292,21936,1274,1.0,1.0,1.0,0.2975534776482644,0.879424569373462,0.44465712781739003
test,ngc_3184,angle_offset_-45deg,0.05,80,80,0,80,0,0,0,8198,22568,1334,1.0,1.0,1.0,0.26646297861275436,0.8600503566932438,0.4068688272370838
test,ngc_3184,angle_offset_-45deg,0.075,80,80,0,80,0,0,0,8142,21884,1390,1.0,1.0,1.0,0.2711649903417039,0.8541754091481326,0.41164871833763084
test,ngc_3184,background_random_negative,0.05,320,6,314,6,64,0,250,352,8720,414,0.08571428571428572,1.0,0.15789473684210528,0.03880070546737213,0.4595300261096606,0.07155926001219759
test,ngc_3184,background_random_negative,0.075,320,6,314,6,62,0,252,348,8302,418,0.08823529411764706,1.0,0.1621621621621622,0.04023121387283237,0.45430809399477806,0.07391673746813934
test,ngc_3184,centered_positive__galaxy_major,0.05,80,80,0,80,0,0,0,8822,22926,844,1.0,1.0,1.0,0.27787577170215444,0.9126836333540245,0.4260395035495243
test,ngc_3184,centered_positive__galaxy_major,0.075,80,80,0,80,0,0,0,8792,22144,874,1.0,1.0,1.0,0.2841996379622446,0.909579971032485,0.43308211418156733
